id,site,species,bag,age,bb.Car,Chl.a,Chl.c1,Chl.c2,Fuco,Phe.a,Viola,Zea
h3.7,WH,h,B3,32,59.01327553,1049.607738,63.18282197,25.37985125,668.2250074,0,0,0
h3.8,WH,h,B3,32,33.06857086,1047.193823,66.24519298,31.8690751,741.2125716,0,0,20.54837265
h3.9,WH,h,B3,32,75.08108621,1104.948053,74.62121215,19.57803566,871.6311297,0,0,0
o1.7,WH,o,B7,32,0,416.4828929,25.32403867,6.810371292,264.9073782,0,0,0.306475334
o1.8,WH,o,B7,32,0,516.5723499,35.03254065,20.71667252,288.0912325,0,0,7.861475667
o1.9,WH,o,B7,32,0,342.8732998,20.17920963,9.656240112,232.7714182,0,0,2.908394605
o2.7,WH,o,B8,32,0,512.4147308,18.24598132,34.55875862,398.5572587,0,0,2.851810148
o2.8,WH,o,B8,32,0,265.8123665,21.86765515,0,143.0434754,0,0,0
o2.9,WH,o,B8,32,0,455.5990734,35.26434009,5.550136701,285.3785404,0,0,13.10664621
o3.7,WH,o,B9,32,7.308059631,487.9481393,28.78597225,23.12397807,327.33615,0,0,0
o3.8,WH,o,B9,32,0,669.8682847,45.38612847,25.6421566,406.8122393,0,0,17.0668617
o3.9,WH,o,B9,32,0,848.3532677,51.35372472,26.5686562,658.9392306,0,0,17.64756164
